VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,Brand_name
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.600000111,139489,663057.0999998719,5012345.110000544,256295.49000001425,68601.68000000001,1495322.0800000003,29.83278380047215,0.961462641301351,1.3151441143377671,Jack Daniels
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.2199999536,156607,553395.1699999111,4713549.890000387,287750.42000000936,144929.24,908320.5999999996,19.27041446886913,0.9546995208427316,1.2390901195335744,Tito's
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.680000034,184058,454633.41999988747,4465724.420000352,338191.12000000774,123780.21999999996,1242391.5,27.820603851768848,0.982129803048979,1.3064153562858134,Absolut 80
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94000002,194723,414172.8099998993,4356560.770000456,357789.5100000149,257032.0700000001,1328010.8599999994,30.483010110745237,0.9654951854900288,1.3358774444707362,Capt Morgan
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.0099999965,132992,537111.1699998903,4137756.080000413,244358.52000001175,257032.0700000001,1077235.1999999995,26.03428474691268,0.962949554337516,1.3686649425523,Ketel One
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.930000039,139650,439923.51999989327,3331022.000000488,109959.08999999722,89286.26999999999,868622.9999999999,26.07677163344681,1.0060586849555864,1.3504311517915963,Grey Goose
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.0800000825,67234,604006.1099998989,2682457.6599999666,123534.76999998424,123780.21999999996,620569.8200000001,23.13437521321428,0.9498608422926408,1.2320194928262975,Jameson Irish
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.8399999856,144771,287676.1799999329,2532678.2899999125,266002.59000000847,257032.0700000001,731093.5499999998,28.86641990365168,0.8970480710842328,1.2127740444151809,Smirnoff Traveler
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.5499999449,88937,495711.8599998926,2597274.63000009,163407.61000000162,257032.0700000001,645682.6199999999,24.86000565908494,0.9684434039309632,1.364301450794656,Tanqueray
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.139999997,104378,420941.6199998935,2379077.219999827,191777.6100000052,123880.97,594954.6,25.007788523990964,0.9587750078077636,1.3415139344263285,Jim Beam
